,Unnamed: 0,Company,depart_time,flight_time,arrival_time,num_stops,stop_location,source,destination,days_remaining,price
54,54,SpiceJet,19.58333333333333,1.9166666666666663,21.5,0,None,Mumbai,Chennai,10,4759
55,55,IndiGo,0.3333333333333333,1.8333333333333333,2.1666666666666665,0,None,Mumbai,Chennai,10,5418
56,56,IndiGo,5.583333333333333,1.9166666666666663,7.5,0,None,Mumbai,Chennai,10,5418
57,57,IndiGo,7.0,1.8333333333333333,8.833333333333334,0,None,Mumbai,Chennai,10,5418
58,58,IndiGo,9.25,2.0,11.25,0,None,Mumbai,Chennai,10,5418
59,59,IndiGo,10.25,2.0,12.25,0,None,Mumbai,Chennai,10,5418
60,60,IndiGo,15.5,1.9166666666666663,17.416666666666668,0,None,Mumbai,Chennai,10,5418
61,61,IndiGo,16.75,2.0,18.75,0,None,Mumbai,Chennai,10,5418
62,62,IndiGo,7.25,4.166666666666667,11.416666666666666,1,Hyderabad,Mumbai,Chennai,10,7098
63,63,IndiGo,11.166666666666666,4.0,15.166666666666666,1,Hyderabad,Mumbai,Chennai,10,7098
64,64,IndiGo,9.0,6.166666666666667,15.166666666666666,1,Hyderabad,Mumbai,Chennai,10,7098
65,65,AirAsia,13.083333333333334,4.166666666666667,17.25,1,Bengaluru,Mumbai,Chennai,10,7098
66,66,IndiGo,16.083333333333332,4.166666666666667,20.25,1,Hyderabad,Mumbai,Chennai,10,7098
67,67,IndiGo,12.0,8.75,20.75,1,Madurai,Mumbai,Chennai,10,7098
68,68,IndiGo,18.08333333333333,4.0,22.08333333333333,1,Hyderabad,Mumbai,Chennai,10,7098
69,69,IndiGo,17.5,4.583333333333333,22.08333333333333,1,Hyderabad,Mumbai,Chennai,10,7098
70,70,IndiGo,19.916666666666668,4.5,0.4166666666666667,1,Hyderabad,Mumbai,Chennai,10,7098
71,71,IndiGo,0.3333333333333333,1.8333333333333333,2.1666666666666665,0,None,Mumbai,Chennai,20,4893
72,72,IndiGo,5.583333333333333,1.9166666666666663,7.5,0,None,Mumbai,Chennai,20,4893
73,73,IndiGo,7.0,1.8333333333333333,8.833333333333334,0,None,Mumbai,Chennai,20,4893
74,74,IndiGo,9.25,2.0,11.25,0,None,Mumbai,Chennai,20,4893
75,75,IndiGo,15.5,1.9166666666666663,17.416666666666668,0,None,Mumbai,Chennai,20,4893
76,76,IndiGo,16.75,2.0,18.75,0,None,Mumbai,Chennai,20,4893
77,77,IndiGo,19.666666666666668,1.9166666666666663,21.58333333333333,0,None,Mumbai,Chennai,20,4893
78,78,IndiGo,22.25,1.8333333333333333,0.0833333333333333,0,None,Mumbai,Chennai,20,4893
79,79,IndiGo,10.25,2.0,12.25,0,None,Mumbai,Chennai,20,4998
